	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	identifier	value	raw_string	json	benchmark_name	title	app_version	description	scale	proportion	benchmark_title	benchmark_id
0	0	0	0.0	cntr-nosplice	5.7453	5.6925:5.663900000000001:5.878400000000001	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-O2 -lz -lm -ldl -lpthread""},""test-run-times"":""5.17:5.15:5.34""}"	pts/sqlite-2.1.0	SQLite	3.30.1	Threads / Copies: 1	Seconds	LIB	SQLite: Threads / Copies: 1	SQLite: Threads / Copies: 1 [Seconds]
1	1	1	1.0	cntr-nosplice	19.5338	27.462600000000002:18.9101:19.940800000000003:19.5844:19.3127:20.1212:19.506300000000003:19.839600000000004:18.784700000000004:17.741900000000005:17.6528:17.7243:20.0387:18.3348:18.0543	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-O2 -lz -lm -ldl -lpthread""},""test-run-times"":""24.97:17.19:18.13:17.80:17.56:18.29:17.73:18.04:17.08:16.13:16.05:16.11:18.22:16.67:16.41""}"	pts/sqlite-2.1.0	SQLite	3.30.1	Threads / Copies: 8	Seconds	LIB	SQLite: Threads / Copies: 8	SQLite: Threads / Copies: 8 [Seconds]
2	2	2	2.0	cntr-nosplice	76.9494	77.16720000000001:80.08880000000002:84.3623:73.74730000000001:78.5147:74.7923:71.3493:73.0213:74.7791:77.88550000000001:75.6239:66.66000000000001:67.8161:77.57420000000002:100.86340000000001	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-O2 -lz -lm -ldl -lpthread""},""test-run-times"":""70.15:72.81:76.69:67.04:71.38:67.99:64.86:66.38:67.98:70.81:68.75:60.60:61.65:70.52:91.69""}"	pts/sqlite-2.1.0	SQLite	3.30.1	Threads / Copies: 32	Seconds	LIB	SQLite: Threads / Copies: 32	SQLite: Threads / Copies: 32 [Seconds]
3	3	3	3.0	cntr-nosplice	179.20980000000003	262.81750000000005:252.77560000000003:165.7722:192.28990000000002:163.9462:165.209:164.967:154.34210000000002:168.33520000000001:168.17680000000001:129.9298:161.95740000000004	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-O2 -lz -lm -ldl -lpthread""},""test-run-times"":""238.93:229.80:150.70:174.81:149.04:150.19:149.97:140.31:153.03:152.89:118.12:147.23""}"	pts/sqlite-2.1.0	SQLite	3.30.1	Threads / Copies: 64	Seconds	LIB	SQLite: Threads / Copies: 64	SQLite: Threads / Copies: 64 [Seconds]
4	4	4	4.0	cntr-nosplice	306.2323	338.6581:294.62180000000006:303.38990000000007:305.8528:312.60130000000004:300.619:298.92170000000004:310.1043:291.32620000000003	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-O2 -lz -lm -ldl -lpthread""},""test-run-times"":""307.87:267.84:275.81:278.05:284.18:273.29:271.75:281.91:264.84""}"	pts/sqlite-2.1.0	SQLite	3.30.1	Threads / Copies: 128	Seconds	LIB	SQLite: Threads / Copies: 128	SQLite: Threads / Copies: 128 [Seconds]
5	5	5	5.0	cntr-nosplice	3838.5	3865.5:3808.8:3841.2000000000003	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-rdynamic -lrt -lz -lpthread -lm -ldl -laio -std=gnu99 -ffast-math -include -O3 -fcommon -U_FORTIFY_SOURCE -march=native""},""test-run-times"":""31.29:31.31:31.29""}"	pts/fio-1.15.0	Flexible IO Tester	3.29	Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	MB/s	HIB	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory [MB/s]
6	6	6	6.0	cntr-nosplice	1916.1000000000001	1929.6000000000001:1900.8:1917.0	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-rdynamic -lrt -lz -lpthread -lm -ldl -laio -std=gnu99 -ffast-math -include -O3 -fcommon -U_FORTIFY_SOURCE -march=native""},""test-run-times"":""31.29:31.31:31.29""}"	pts/fio-1.15.0	Flexible IO Tester	3.29	Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	IOPS	HIB	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory [IOPS]
7	7	7	7.0	cntr-nosplice	587.7	588.6:589.5:585.9	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-rdynamic -lrt -lz -lpthread -lm -ldl -laio -std=gnu99 -ffast-math -include -O3 -fcommon -U_FORTIFY_SOURCE -march=native""},""test-run-times"":""32.45:32.44:32.44""}"	pts/fio-1.15.0	Flexible IO Tester	3.29	Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory	MB/s	HIB	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory [MB/s]
8	8	8	8.0	cntr-nosplice	150900.30000000002	151200.0:151200.0:150300.0	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-rdynamic -lrt -lz -lpthread -lm -ldl -laio -std=gnu99 -ffast-math -include -O3 -fcommon -U_FORTIFY_SOURCE -march=native""},""test-run-times"":""32.45:32.44:32.44""}"	pts/fio-1.15.0	Flexible IO Tester	3.29	Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory	IOPS	HIB	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory	Flexible IO Tester: Type: Random Read - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 4KB - Disk Target: Default Test Directory [IOPS]
9	9	9	9.0	cntr-nosplice	2790.9	2666.7000000000003:2785.5:2838.6:2812.5:2845.8:2796.3	"{""compiler-options"":{""compiler-type"":""CC"",""compiler"":""gcc"",""compiler-options"":""-rdynamic -lrt -lz -lpthread -lm -ldl -laio -std=gnu99 -ffast-math -include -O3 -fcommon -U_FORTIFY_SOURCE -march=native""},""test-run-times"":""30.33:30.34:30.33:30.33:30.33:30.33""}"	pts/fio-1.15.0	Flexible IO Tester	3.29	Type: Random Write - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	MB/s	HIB	Flexible IO Tester: Type: Random Write - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory	Flexible IO Tester: Type: Random Write - IO Engine: Linux AIO - Buffered: No - Direct: Yes - Block Size: 2MB - Disk Target: Default Test Directory [MB/s]
